iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10,0.009154983
1000,-1.0,2.0,8,0.014937257
1500,-1.0,2.0,10,0.014863706
2000,-0.9,2.1,10,0.02219883
2500,-0.82,2.18,11,0.01525642
3000,-0.88,2.12,8,0.024946224
3500,-0.89,2.11,9,0.03212106
4000,-0.88,2.12,8,0.018660389
4500,-0.88,2.12,8,0.021755029
5000,-1.0,2.0,8,0.02220468
5500,-1.0,2.0,8,0.01645674
6000,-1.0,2.0,8,0.02008012
6500,-1.0,2.0,9,0.017102048
7000,-1.0,2.0,8,0.01932011
7500,-1.0,2.0,8,0.02014241
8000,-1.0,2.0,8,0.03227239
8500,-0.89,2.11,9,0.02385982
9000,-1.0,2.0,10,0.0215585
9500,-1.0,2.0,8,0.02125036
10000,-1.0,2.0,8,0.025684722
10500,-0.91,2.09,11,0.033782326
11000,-1.0,2.0,9,0.036366668
11500,-1.0,2.0,8,0.01769292
12000,-1.0,2.0,8,0.018539475
12500,-0.88,2.12,8,0.033109378
13000,-1.0,2.0,8,0.025663627
13500,-1.0,2.0,10,0.028682515
14000,-1.0,2.0,8,0.027629128
14500,-1.0,2.0,8,0.028270386
15000,-1.0,2.0,8,0.035768017
15500,-1.0,2.0,10,0.033036105
16000,-1.0,2.0,8,0.02700776
16500,-1.0,2.0,9,0.019074386
17000,-1.0,2.0,8,0.029103052
17500,-1.0,2.0,10,0.037204925
18000,-1.0,2.0,10,0.024941165
18500,-1.0,2.0,8,0.031526282
19000,-1.0,2.0,8,0.035942122
19500,-1.0,2.0,8,0.021799535
20000,-0.88,2.12,8,0.026665028
20500,-1.0,2.0,8,0.029521
21000,-1.0,2.0,9,0.037799776
21500,-1.0,2.0,8,0.024963982
22000,-1.0,2.0,11,0.02725261
22500,-0.89,2.11,9,0.0261403
23000,-1.0,2.0,9,0.031637296
23500,-0.88,2.12,8,0.030895121
24000,-1.0,2.0,9,0.034667343
24500,-1.0,2.0,10,0.036308497
25000,-0.9,2.1,10,0.030461138
25500,-0.8,2.2,10,0.039643083
26000,-1.0,2.0,8,0.021775465
26500,-1.0,2.0,8,0.04145077
27000,-1.0,2.0,8,0.036653563
27500,-1.0,2.0,8,0.017123323
28000,-1.0,2.0,8,0.031336192
28500,-0.88,2.12,8,0.021857847
29000,-1.0,2.0,9,0.043525286
29500,-1.0,2.0,11,0.033926073
30000,-0.89,2.11,9,0.039286297
30500,-0.88,2.12,8,0.0370947
31000,-1.0,2.0,11,0.024359085
31500,-1.0,2.0,8,0.043965373
32000,-1.0,2.0,8,0.041526414
32500,-1.0,2.0,8,0.046909582
33000,-1.0,2.0,8,0.033938006
33500,-1.0,2.0,8,0.027775131
34000,-0.88,2.12,8,0.05383726
34500,-0.89,2.11,9,0.02476852
35000,-0.9,2.1,10,0.04586417
35500,-1.0,2.0,9,0.024257036
36000,-0.89,2.11,9,0.046270296
36500,-1.0,2.0,10,0.026366845
37000,-0.89,2.11,9,0.030845532
37500,-1.0,2.0,8,0.014204435
38000,-1.0,2.0,8,0.041628364
38500,-0.89,2.11,9,0.046658188
39000,-0.67,2.33,9,0.031815786
39500,-1.0,2.0,9,0.033112306
40000,-1.0,2.0,8,0.028556868
40500,-0.88,2.12,8,0.036329187
41000,-0.88,2.12,8,0.03345097
41500,-1.0,2.0,8,0.045622192
42000,-1.0,2.0,8,0.028954584
42500,-1.0,2.0,8,0.046425924
43000,-0.78,2.22,9,0.040351234
43500,-1.0,2.0,8,0.028804107
44000,-0.89,2.11,9,0.03413403
44500,-1.0,2.0,8,0.03156551
45000,-1.0,2.0,9,0.034051973
45500,-1.0,2.0,9,0.03446519
46000,-1.0,2.0,8,0.031649765
46500,-1.0,2.0,8,0.038881674
47000,-1.0,2.0,8,0.031186529
47500,-1.0,2.0,8,0.044156507
48000,-1.0,2.0,8,0.029660642
48500,-0.89,2.11,9,0.0340586
49000,-1.0,2.0,9,0.029600665
49500,-1.0,2.0,9,0.02970135
50000,-1.0,2.0,8,0.021201976
50500,-1.0,2.0,8,0.046796
51000,-0.88,2.12,8,0.021797441
51500,-1.0,2.0,9,0.029081332
52000,-1.0,2.0,8,0.028331866
52500,-1.0,2.0,9,0.041474078
53000,-1.0,2.0,8,0.038656116
53500,-0.75,2.25,8,0.02858648
54000,-0.82,2.18,11,0.046293937
54500,-1.0,2.0,8,0.04814888
55000,-1.0,2.0,8,0.037027452
55500,-1.0,2.0,9,0.041217662
