iteration,reward_mean,length_mean,games,loss
500,-0.88,2.12,8,0.0137982555
1000,-1.0,2.0,9,0.011058873
1500,0.62,2.62,8,0.007382226
2000,1.0,3.3,10,0.0070277303
2500,0.38,2.38,8,0.005309845
3000,0.12,2.12,8,0.0009318793
3500,0.75,3.17,12,0.0041286536
4000,0.0,2.0,8,0.0022246405
4500,0.25,2.25,8,0.00057947775
5000,0.25,2.25,8,0.005560849
5500,0.12,2.12,8,0.0009823394
6000,1.73,4.09,11,0.0039779698
6500,1.4,3.7,10,0.0019669442
7000,1.5,3.62,8,0.0015179894
7500,2.33,4.67,9,0.0010418913
8000,3.17,5.67,12,0.003485992
8500,3.36,5.82,11,0.0035084407
9000,2.6,5.0,10,0.0033881157
9500,3.75,6.75,8,0.0026263704
10000,5.38,8.38,8,0.010409122
10500,4.0,7.0,8,0.010276704
11000,4.25,7.25,8,0.0062616365
11500,4.5,7.5,8,0.017299166
12000,3.0,6.0,8,0.008744762
12500,4.88,7.88,8,0.010260725
13000,5.12,8.12,8,0.009617031
13500,3.38,6.38,8,0.010662454
14000,6.38,9.38,8,0.0158756
14500,5.38,8.38,8,0.018476622
15000,3.25,6.25,8,0.024426011
15500,3.25,6.25,8,0.012024187
16000,6.0,9.0,8,0.012013726
16500,6.12,9.12,8,0.017660357
17000,7.25,10.25,8,0.025830755
17500,6.38,9.38,8,0.03883262
18000,4.0,7.0,8,0.01641006
18500,2.12,5.12,8,0.019061303
19000,6.25,9.25,8,0.014221718
19500,7.62,10.62,8,0.019288648
20000,3.75,6.75,8,0.037897356
20500,6.25,9.25,8,0.015838305
21000,7.89,10.89,9,0.033639714
21500,9.5,12.5,8,0.024676299
22000,8.25,11.25,8,0.018970782
22500,7.75,10.75,8,0.043968625
23000,9.88,12.88,8,0.02475812
23500,8.5,11.5,8,0.025996357
24000,9.88,12.88,8,0.02967855
24500,8.0,11.0,8,0.03178905
25000,7.75,10.75,8,0.04361012
25500,8.75,11.75,8,0.022020487
26000,6.5,9.5,8,0.017884895
26500,10.0,13.0,8,0.024420507
27000,8.12,11.12,8,0.02253734
27500,5.12,8.12,8,0.02800474
28000,7.38,10.38,8,0.016092531
28500,13.38,16.38,8,0.033477746
29000,11.38,14.38,8,0.018251523
29500,4.75,7.75,8,0.015635075
30000,8.75,11.75,8,0.02858448
30500,9.5,12.5,8,0.028843913
31000,4.12,7.12,8,0.034015175
31500,7.5,10.5,8,0.025658943
32000,9.5,12.5,8,0.02354658
32500,10.62,13.62,8,0.02082863
33000,8.62,11.62,8,0.02254384
33500,11.62,14.62,8,0.023467287
34000,9.88,12.88,8,0.044983156
34500,12.75,15.75,8,0.08408125
35000,9.12,12.12,8,0.031683244
35500,9.0,12.0,9,0.035618782
36000,12.0,15.0,8,0.033878375
36500,11.75,14.75,8,0.046878465
37000,11.22,14.22,9,0.022094814
37500,10.5,13.5,8,0.026522323
38000,11.88,14.88,8,0.029630892
38500,9.75,12.75,8,0.0367753
39000,7.0,10.0,8,0.017646365
39500,14.12,17.12,8,0.050435312
40000,14.12,17.12,8,0.03250891
40500,11.25,14.25,8,0.030061997
41000,13.88,16.88,8,0.017131712
41500,7.25,10.25,8,0.032249056
42000,12.25,15.25,8,0.044995654
42500,10.5,13.5,8,0.061592378
43000,10.75,13.75,8,0.033874787
43500,15.0,18.0,8,0.022174444
44000,13.75,16.75,8,0.03174016
44500,9.38,12.38,8,0.032944277
45000,13.25,16.25,8,0.022946332
45500,13.38,16.38,8,0.016297521
